COMMAND     PID      USER   FD   TYPE     DEVICE SIZE/OFF NODE NAME
surreal-d 37728 lixiaojie   76u  IPv4 3112705519      0t0  TCP localhost:8010 (LISTEN)
surreal-d 37728 lixiaojie   79u  IPv4 3112712433      0t0  TCP localhost:8010->localhost:34912 (ESTABLISHED)
surreal-d 37728 lixiaojie   82u  IPv4 3112712434      0t0  TCP localhost:8010->localhost:34916 (ESTABLISHED)
surreal-d 37728 lixiaojie  126u  IPv4 3112656462      0t0  TCP localhost:34922->localhost:8010 (ESTABLISHED)
surreal-d 37728 lixiaojie  127u  IPv4 3112656463      0t0  TCP localhost:34924->localhost:8010 (ESTABLISHED)
surreal-d 37739 lixiaojie   76u  IPv4 3112705519      0t0  TCP localhost:8010 (LISTEN)
surreal-d 37739 lixiaojie   79u  IPv4 3112712433      0t0  TCP localhost:8010->localhost:34912 (ESTABLISHED)
surreal-d 37739 lixiaojie   82u  IPv4 3112712434      0t0  TCP localhost:8010->localhost:34916 (ESTABLISHED)
surreal-d 37739 lixiaojie  126u  IPv4 3112667481      0t0  TCP localhost:34930->localhost:8010 (ESTABLISHED)
surreal-d 37739 lixiaojie  127u  IPv4 3112725994      0t0  TCP localhost:34932->localhost:8010 (ESTABLISHED)
